KIC,lamost_id,RA (deg),DEC (deg),dtheta (arcsec),lamost filename 
 2448225,580507114,292.498013,37.783790,3.9365,spec-57918-KP192409N391242V03_sp07-114.fits.gz 
 2448260,369807121,292.504270,37.711189,0.0332,spec-57308-KP192409N391242V02_sp07-121.fits.gz 
 2449703,369707074,292.840120,37.731098,0.0271,spec-57308-KP192409N391242V01_sp07-074.fits.gz 
 2449703,580507054,292.840120,37.731098,0.0271,spec-57918-KP192409N391242V03_sp07-054.fits.gz 
 2450318,580507074,292.977390,37.792210,0.0061,spec-57918-KP192409N391242V03_sp07-074.fits.gz 
 2451509, 52507081,293.243250,37.702528,0.0600,spec-56094-kepler05B56094_2_sp07-081.fits.gz 
 2573092, 52405013,290.857083,37.876000,0.2178,spec-56094-kepler05B56094_sp05-013.fits.gz 
 2574191,580705019,291.106667,37.804225,0.7196,spec-57918-KP192409N391242V05_sp05-019.fits.gz 
 2575044, 52505003,291.300625,37.855917,0.0246,spec-56094-kepler05B56094_2_sp05-003.fits.gz 
 2576993,580508204,291.708560,37.896474,3.8283,spec-57918-KP192409N391242V03_sp08-204.fits.gz 
 2578198,369808203,291.951810,37.892441,0.0087,spec-57308-KP192409N391242V02_sp08-203.fits.gz 
 2578198,580708219,291.951810,37.892441,0.0087,spec-57918-KP192409N391242V05_sp08-219.fits.gz 
 2579661,369707102,292.268830,37.892941,0.0271,spec-57308-KP192409N391242V01_sp07-102.fits.gz 
 2583386,369807192,293.082790,37.859348,0.0316,spec-57308-KP192409N391242V02_sp07-192.fits.gz 
 2583386,580707176,293.082790,37.859348,0.0316,spec-57918-KP192409N391242V05_sp07-176.fits.gz 
 2583651,580607084,293.141901,37.814336,3.7944,spec-57918-KP192409N391242V04_sp07-084.fits.gz 
 2584477,369707135,293.321470,37.822010,0.0334,spec-57308-KP192409N391242V01_sp07-135.fits.gz 
 2584997,369707138,293.442960,37.803169,0.0307,spec-57308-KP192409N391242V01_sp07-138.fits.gz 
 2584997,580607133,293.442960,37.803169,0.0307,spec-57918-KP192409N391242V04_sp07-133.fits.gz 
 2585190,373101244,293.483670,37.873329,0.0061,spec-57314-KP193708N401249V01_sp01-244.fits.gz 
 2585190,579801244,293.483670,37.873329,0.0061,spec-57917-KP193708N401249V02_sp01-244.fits.gz 
 2693261,243001082,285.958501,37.929556,2.5239,spec-56811-KP190339N395439V01_sp01-082.fits.gz 
 2696262,243107163,286.917500,37.951361,0.0460,spec-56811-KP190339N395439V02_sp07-163.fits.gz 
 2697501,243107250,287.318208,37.901028,0.0536,spec-56811-KP190339N395439V02_sp07-250.fits.gz 
 2708803, 52505100,290.452000,37.963472,0.0389,spec-56094-kepler05B56094_2_sp05-100.fits.gz 
 2710194,369705076,290.791350,37.929111,0.0353,spec-57308-KP192409N391242V01_sp05-076.fits.gz 
