  2141928 19054142+3731262  19:05:41.421 +37:31:26.29 10.72 4757 166   34.71    0.22    4.13    0.05 6.07e+03 233         1.15    0.09   10.66    0.33    2.44    0.01  318.60    1.76    0.06 -999.   -999.   0 -999.    0 1 2
  2142095 19055465+3735053  19:05:54.650 +37:35:05.32 11.53 4932 173   28.62    0.30    3.74    0.05 4.8e+03  265         1.01    0.09   10.91    0.38    2.37    0.01 -999.      0.62    0.07 -999.   -999.   0 -999.    0 0 0
  2155220 19211041+3734464  19:21:10.411 +37:34:46.49 11.41 5065 177   35.17    0.24    4.22    0.05 5.3e+03  207         1.21    0.10   10.67    0.33    2.46    0.01  306.50 -999.      0.06 -999.   -999.   0 -999.    0 1 2
  2156178 19220462+3731316  19:22:04.627 +37:31:31.62  9.59 4853  97   28.21    0.26    3.83    0.05 6.58e+03 338         0.86    0.06   10.15    0.31    2.36    0.01  233.90    1.72    0.16   40.50   12.67 0 -999.    2 0 2
  2157725 19233177+3731446  19:23:31.776 +37:31:44.62 12.34 4925  98   28.32    0.33    3.60    0.05 3.5e+03  191         1.14    0.09   11.65    0.38    2.36    0.01 -999.      0.87    0.06 -999.   -999.   0 -999.    0 0 0
  2157901 19234174+3735179  19:23:41.745 +37:35:17.92 11.14 4760  95   29.48    0.30    3.85    0.05 5.47e+03 272         0.93    0.07   10.40    0.32    2.37    0.01  245.90 -999.      0.17   44.00   11.96 0 -999.    2 0 2
  2158410 19241257+3731545  19:24:12.578 +37:31:54.55 11.77 4955  99   46.38    0.69    4.31    0.05 597      36.2        2.45    0.18   13.29    0.40    2.58    0.01 -999.      0.68    0.04 -999.   -999.   0 -999.    0 0 0
  2159449 19250940+3735581  19:25:09.408 +37:35:58.13 12.48 5079 102  205.57    1.79   13.85    0.14 16.7     2.46        2.08    0.12    5.79    0.14    3.23    0.01 -999.   -999.      1.12   74.50    3.93 0 -999.    2 0 1
  2160161 19254757+3734183  19:25:47.573 +37:34:18.37 11.95 4776  96   47.26    0.33    4.68    0.05 1.75e+03 66.4        1.76    0.11   11.29    0.29    2.58    0.01  277.10    1.41    0.04 -999.   -999.   0 -999.    0 1 2
  2160572 19260797+3735340  19:26:07.973 +37:35:34.01 10.93 4942 173   32.25    0.26    3.90    0.05 6.67e+03 277         1.23    0.10   11.30    0.37    2.42    0.01  246.00    1.62    0.06 -999.   -999.   0 -999.    0 1 2
  2160901 19262385+3732227  19:26:23.853 +37:32:22.78 12.06 4683  94   59.52    0.32    5.67    0.05 1.34e+03 45.1        1.59    0.08    9.61    0.21    2.68    0.01 -999.      1.45    0.04 -999.   -999.   0 -999.    0 0 0
  2161731 19270486+3734137  19:27:04.867 +37:34:13.76  8.18 5107 179  101.79    0.54    8.12    0.05 203      5.3         2.15    0.15    8.35    0.19    2.93    0.01 -999.      1.35    0.09  169.00    2.50 0 -999.    2 0 0
  2163856 19285446+3733268  19:28:54.466 +37:33:26.78 11.70 5026 101   71.04    0.53    6.09    0.05 300      10.8        2.26    0.12   10.29    0.22    2.77    0.01 -999.      0.45 -999.   -999.   -999.   0 -999.    0 0 0
  2164123 19290694+3732057  19:29:06.948 +37:32:05.71 10.91 5025 176   47.81    2.66    4.91    0.05 155      26.8        1.63    0.30   10.67    0.66    2.60    0.03 -999.   -999.      0.31   57.00    9.46 0 -999.    2 0 0
  2164327 19291858+3735195  19:29:18.583 +37:35:19.57 10.81 4854  97   45.61    0.26    4.70    0.05 1.33e+03 48          1.60    0.09   10.89    0.27    2.57    0.01  236.70    1.49    0.04 -999.   -999.   0 -999.    0 1 2
  2165198 19300234+3735387  19:30:02.350 +37:35:38.72 12.23 4815  96   89.77    0.41    7.65    0.05 370      12.3        1.72    0.08    8.07    0.14    2.86    0.01 -999.      0.36    0.04 -999.   -999.   0 -999.    0 0 0
