   KIC, 2MASS,        Kep_mag,  flag_act_osc, evol_status, Prot, logg_ast, err, NUV_xs, err, S_Ca_HK, err, S_Mg, err, S_Fe, err, S_Halpha, err, S_CaIR, err 
  2422073,19033301+3743183 ,11.19, 0,0,-999.00, 2.32, 0.01, -999, -999,0.190,0.004,0.604,0.008,0.848,0.009,0.769,0.009,0.554,0.008 
  2422635,19041758+3743261 ,12.06, 0,1,-999.00, 2.95, 0.01, -999, -999,0.187,0.004,0.663,0.016,0.874,0.020,0.772,0.021,0.589,0.023 
  2424822,19071517+3744455 ,11.68, 0,1,-999.00, 2.89, 0.01, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999 
  2424934,19072299+3747068 ,10.38, 0,2,-999.00, 2.44, 0.01, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999 
  2424955,19072522+3746459 ,10.74, 0,0,-999.00, 2.62, 0.01, -999, -999, -999, -999,0.576,0.059,0.858,0.070,0.774,0.069,0.559,0.074 
  2438368,19211415+3746578 ,11.52, 0,2,-999.00, 2.84, 0.01, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999 
  2441154,19234503+3744304 ,10.33, 1,0, 32.00,-999.00,-999.00, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999 
  2441995,19243350+3742045 ,11.44, 0,2,-999.00, 2.38, 0.01, -999, -999,0.156,0.003,0.702,0.007,0.892,0.008,0.732,0.006,0.587,0.007 
  2442606,19250766+3745047 ,10.98, 0,0,-999.00, 2.46, 0.01, -999, -999, -999, -999,0.732,0.022,0.887,0.023,0.703,0.025,0.637,0.026 
  2443035,19252964+3744385 ,12.22, 3,0,128.00, 2.53, 0.01, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999 
  2443573,19255881+3742189 ,11.69, 0,0,-999.00, 2.56, 0.01, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999 
  2443903,19261694+3745527 ,11.82, 0,1,-999.00, 2.73, 0.01, -999, -999,0.566,0.004,0.658,0.006,0.923,0.008,0.743,0.007,0.598,0.010 
  2444348,19264049+3742146 ,10.32, 0,0,-999.00, 2.38, 0.01, -999, -999,0.134,0.001,0.562,0.003,0.844,0.004,0.769,0.004,0.554,0.004 
  2445947,19280577+3746363 ,12.50, 0,2,-999.00, 2.42, 0.01, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999 
  2446327,19282549+3746240 ,12.39, 0,0,-999.00, 2.63, 0.01, -999, -999,0.042,0.003,0.609,0.013,0.864,0.017,0.773,0.016,0.563,0.018 
